trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.002, 'e': 0.9212719586963487}",20,0,-65.68237843826692,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
43,False,"{'a': 0.002, 'e': 0.9194312560951247}",20,0,-52.31040322887803,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
44,False,"{'a': 0.002, 'e': 0.9175942312201509}",30,7,-213.8462944366137,"{0: 9, 1: 4, 2: 5, 3: 2, 4: 3}",1
45,False,"{'a': 0.002, 'e': 0.9157608767233256}",30,0,-162.77820506735512,"{0: 20, 1: 2, 2: 5, 3: 0, 4: 3}",0
46,False,"{'a': 0.002, 'e': 0.9139311852712282}",30,0,-130.8914652740678,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
47,False,"{'a': 0.002, 'e': 0.9121051495450904}",25,0,-148.26717626819809,"{0: 13, 1: 5, 2: 4, 3: 1, 4: 2}",0
48,False,"{'a': 0.002, 'e': 0.910282762240767}",20,0,-84.84369258426716,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
49,False,"{'a': 0.002, 'e': 0.9084640160687062}",25,0,-42.21286191029043,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
50,False,"{'a': 0.002, 'e': 0.9066489037539209}",20,0,-19.043432810744832,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",1
51,False,"{'a': 0.002, 'e': 0.9048374180359595}",30,0,-126.55567257146444,"{0: 21, 1: 3, 2: 3, 3: 1, 4: 2}",0
52,False,"{'a': 0.002, 'e': 0.9030295516688768}",25,0,-42.99855992512307,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
53,False,"{'a': 0.002, 'e': 0.9012252974212047}",25,0,-82.49993672406328,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
54,False,"{'a': 0.002, 'e': 0.899424648075924}",20,7,-45.3716290398018,"{0: 9, 1: 3, 2: 0, 3: 0, 4: 1}",1
55,False,"{'a': 0.002, 'e': 0.8976275964304349}",25,0,-169.1811344085731,"{0: 14, 1: 5, 2: 2, 3: 1, 4: 3}",0
56,False,"{'a': 0.002, 'e': 0.8958341352965282}",30,0,-182.2557669336327,"{0: 15, 1: 4, 2: 8, 3: 1, 4: 2}",0
57,False,"{'a': 0.002, 'e': 0.8940442575003572}",20,0,-105.11594772474609,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
58,False,"{'a': 0.002, 'e': 0.8922579558824083}",25,0,-65.52874631672383,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
59,False,"{'a': 0.002, 'e': 0.8904752232974726}",25,0,-113.84301122764776,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
60,False,"{'a': 0.002, 'e': 0.8886960526146174}",25,2,-13.04437267396583,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 0}",1
61,False,"{'a': 0.002, 'e': 0.8869204367171575}",25,0,-42.95441708881251,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
62,False,"{'a': 0.002, 'e': 0.8851483685026271}",35,0,-77.53969253140913,"{0: 21, 1: 10, 2: 4, 3: 0, 4: 0}",0
63,False,"{'a': 0.002, 'e': 0.8833798408827509}",30,0,-156.1608158252158,"{0: 21, 1: 2, 2: 3, 3: 1, 4: 3}",0
64,False,"{'a': 0.002, 'e': 0.8816148467834161}",30,0,-104.1375650402803,"{0: 18, 1: 4, 2: 7, 3: 0, 4: 1}",0
65,False,"{'a': 0.002, 'e': 0.8798533791446438}",25,9,-89.98662576531173,"{0: 8, 1: 1, 2: 6, 3: 0, 4: 1}",1
66,False,"{'a': 0.002, 'e': 0.8780954309205613}",25,0,-123.1940019555433,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
67,False,"{'a': 0.002, 'e': 0.8763409950793732}",25,0,-61.8985848309439,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
68,False,"{'a': 0.002, 'e': 0.874590064603334}",30,0,-128.22006124762277,"{0: 19, 1: 4, 2: 5, 3: 0, 4: 2}",0
